pitch_angle,pitch_target,pitch_speed,pitch_speed_target,pitch_output,pitch_angle_kp,pitch_angle_ki,pitch_angle_kd,pitch_speed_kp,pitch_speed_ki,pitch_speed_kd,pitch_ff_output,yaw_ff_output
0.86,0.00,0.00,-62.21,-1211.15,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.23,-1211.63,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.22,-1211.83,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.23,-1212.33,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.25,-1212.82,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.26,-1213.26,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.25,-1213.47,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.24,-1213.70,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.25,-1214.06,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.25,-1214.39,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.24,-1214.57,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.25,-1214.95,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.26,-1215.41,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.86,0.00,0.00,-62.24,-1215.54,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.23,-1215.68,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.23,-1215.99,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
